cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2025-53891,4.3,5.7232,-1.4232,1.4232,True,MEDIUM
CVE-2018-10234,4.8,6.2221,-1.4221,1.4221,True,MEDIUM
CVE-2019-1144,8.8,7.3799,1.4201,1.4201,True,HIGH
CVE-2026-2420,4.4,5.8194,-1.4194,1.4194,True,MEDIUM
CVE-2024-6836,4.3,5.719,-1.419,1.419,True,MEDIUM
CVE-2009-2583,6.8,5.3816,1.4184,1.4184,True,MEDIUM
CVE-2007-3600,4.0,5.4179,-1.4179,1.4179,True,MEDIUM
CVE-2024-20088,4.4,5.8176,-1.4176,1.4176,True,MEDIUM
CVE-2023-31271,6.7,5.2826,1.4174,1.4174,True,MEDIUM
CVE-2010-5066,4.3,5.715,-1.415,1.415,True,MEDIUM
CVE-2014-6611,4.3,5.7138,-1.4138,1.4138,True,MEDIUM
CVE-2021-34394,4.2,5.6131,-1.4131,1.4131,True,MEDIUM
CVE-2024-46850,4.7,6.1127,-1.4127,1.4127,True,MEDIUM
CVE-2001-1102,6.2,4.7874,1.4126,1.4126,True,MEDIUM
CVE-2020-10945,4.3,5.7117,-1.4117,1.4117,True,MEDIUM
CVE-2019-15684,4.3,5.7101,-1.4101,1.4101,True,MEDIUM
CVE-2021-25484,4.0,5.4097,-1.4097,1.4097,True,MEDIUM
CVE-2017-3247,4.3,5.7092,-1.4092,1.4092,True,MEDIUM
CVE-2015-1844,4.0,5.4087,-1.4087,1.4087,True,MEDIUM
CVE-2022-1079,4.3,5.7085,-1.4085,1.4085,True,MEDIUM
CVE-2011-1685,4.6,6.0079,-1.4079,1.4079,True,MEDIUM
CVE-2014-0747,6.8,5.3931,1.4069,1.4069,True,MEDIUM
CVE-2025-27434,8.8,7.3935,1.4065,1.4065,True,HIGH
CVE-2025-26764,6.5,5.0936,1.4064,1.4064,True,MEDIUM
CVE-2017-15195,4.3,5.7062,-1.4062,1.4062,True,MEDIUM
CVE-2020-6531,4.3,5.706,-1.406,1.406,True,MEDIUM
CVE-2005-4751,6.8,5.3944,1.4056,1.4056,True,MEDIUM
CVE-2015-4516,9.3,7.8954,1.4046,1.4046,True,CRITICAL
CVE-2014-0746,4.0,5.4037,-1.4037,1.4037,True,MEDIUM
CVE-2015-3967,6.8,5.3972,1.4028,1.4028,True,MEDIUM
CVE-2023-45077,6.7,5.2976,1.4024,1.4024,True,MEDIUM
CVE-2016-0413,4.0,5.4022,-1.4022,1.4022,True,MEDIUM
CVE-2013-5482,4.3,5.7006,-1.4006,1.4006,True,MEDIUM
CVE-2022-30748,4.0,5.4005,-1.4005,1.4005,True,MEDIUM
CVE-2012-2003,6.8,5.4001,1.3999,1.3999,True,MEDIUM
CVE-2008-6084,6.8,5.4004,1.3996,1.3996,True,MEDIUM
CVE-2024-34817,4.3,5.699,-1.399,1.399,True,MEDIUM
